audio_path,客語漢字,客語拼音
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_041.wav,阿伯戴个樓屋有電梯,a33 bag21 dai53 gai33 leu113 vug21 rhiu33 tien53 toi33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_042.wav,𠊎行路去郵局寄信,ngai113 hang113 lu53 ki53 rhiu113 kiug54 gi53 sin53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_043.wav,𠊎在十字路口等你,ngai113 to33 shib54 sii53 lu53 kieu31 den31 hn113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_044.wav,佢這擺用信用卡付款,gi113 lia31 bai31 rhung53 sin53 rhung53 ka31 fu53 kuan31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_045.wav,老弟通過認證考試了,lo31 te33 tung33 go53 ngin53 zhin53 kau31 shi53 le33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_046.wav,在網路買東西當利便,to33 miong31 lu53 mai33 dung33 si33 dong33 li53 pien53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_047.wav,新个頭路你做得慣無,sin33 gai33 teu113 lu53 hn113 zo53 ded21 guan53 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_048.wav,今晡放尞毋使去學校,gim33 bi35 biong53 liau53 m113 sii31 ki53 hog54 gau31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_049.wav,歇睏一下恁久無看着,hied21 kun53 rhid21 ha53 an31 giu31 mo113 kon53 do31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_050.wav,勞瀝毋使細義失禮,lo113 lad54 m113 sii31 se53 ngi53 shid21 li33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_051.wav,敗勢無關係拜託你,pai33 she53 mo113 guan33 he53 bai53 tog21 hn113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_052.wav,你識佢無𠊎毋識佢,hn113 shid21 gi113 mo113 ngai113 m113 shid21 gi113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_053.wav,𠊎當𤸁𠊎當暢,ngai113 dong33 kioi53 ngai113 dong33 tiong53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_054.wav,阿爸逐朝晨都愛食咖啡,a33 ba33 dag21 zheu33 shun113 do33 oi33 shid54 ga33 bi33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_055.wav,佢著新褲去外阿婆屋家,gi113 zhog21 sin33 ku53 ki53 nguai53 a33 po113 vug21 ka33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_056.wav,請問這領衫係麼个尺寸,ciang31 mun53 lia31 liang33 sam33 he53 ma31 gai33 chag21 cun53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_057.wav,恁吵鬧你仰脣佇得著,an31 cau113 nau53 hn113 ngiong31 shun113 du53 ded21 diau113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_058.wav,厥等逐暗晡都愛去補習,gia33 nen35 dag21 am53 bu33 do33 oi33 ki53 bu31 sib54
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_059.wav,熱天大家較好去海脣尞,ngied54 tien33 tai53 ga33 ka33 hau53 ki53 hoi31 shun113 liau53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_060.wav,有病愛遽遽去分先生看,rhiu33 piang53 oi33 giag21 giag21 ki53 bun33 sin33 sen33 kon53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_061.wav,今晡日个報紙你有看吂,gim33 bi33 ngid21 gai33 bo53 zhi31 hn113 rhiu33 kon53 mang113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_062.wav,𠊎昨暗晡反躁睡毋得,ngai113 ca113 am53 bu33 fan31 cau53 shoi53 m113 ded21
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_063.wav,表哥逐日都當認真做事,biau31 go33 dag21 ngid21 do33 dong33 ngin53 zhin33 zo53 she53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_064.wav,暗晡頭駛車愛較注意兜,am53 bu33 teu113 sii31 cha33 oi33 ka33 zhu53 rhi53 deu35
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_065.wav,請問使得尋麼人𢯭手,ciang31 mun53 sii31 ded21 cim113 ma31 ngin113 ten53 shiu31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_066.wav,你曉得吂分𠊎想一下,hn113 hiau31 ded21 mang113 bun33 ngai113 siong31 rhid21 ha53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_067.wav,你戴哪位有人在屋家無,hn113 dai53 ne53 vui53 rhiu33 ngin113 to33 vug21 ka33 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_068.wav,𠊎轉來咧你愛去哪位,ngai113 zhon31 loi113 le33 hn113 oi33 ki53 ne53 vui53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_069.wav,恁早食飽吂恁久好無,an31 zo31 shid54 bau31 mang113 an31 giu31 ho31 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_070.wav,還得人惜喔還得人惱喔,han113 ded21 ngin113 siag21 o33 han113 ded21 ngin113 nau33 o33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_071.wav,你還慶喔哪有無影啦,hn113 han113 kiang53 o33 ne53 rhiu33 mo113 rhang31 la31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_072.wav,吾等輒輒共下鬥緊買美食,nga33 nen35 ziab54 ziab54 kiung53 ha53 deu53 gin31 mai33 mui33 shid54
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_073.wav,生菇个東西斯使毋得食欸,sang33 gu33 gai33 dung33 si33 sii33 sii31 m113 ded21 shid54 e31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_074.wav,天光日使得在屋家打電動,tien33 gong33 ngid21 sii31 ded21 to33 vug21 ka33 da31 tien53 tung53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_075.wav,共下來*去公園運動啊了,kiung53 ha53 loi113 *ki53 li113 gung33 rhen113 rhun53 tung53 a33 le113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_076.wav,這條路較近該條路較遠,lia31 tiau113 lu53 ka33 kiun33 gai53 tiau113 lu53 ka33 rhen31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_077.wav,食酒莫駛車駛車莫食酒,shid54 ziu31 mog54 sii31 cha33 sii31 cha33 mog54 shid54 ziu31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_078.wav,𠊎無閒去會轉鉸毋得了,ngai113 mo113 han113 ki53 voi33 zhon31 gau53 m113 ded21 le33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_079.wav,阿爸無在屋家阿姆還吂轉,a33 ba33 mo113 to33 vug21 ka33 a33 me33 han113 mang113 zhon31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_080.wav,正來尞順行有閒正來尞,zhang33 loi113 liau53 shun53 hang113 rhiu33 han113 zhang33 loi113 liau53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_081.wav,厥老公當派頭若餔娘當靚,gia33 lo31 gung33 dong33 pai53 tau113 ngia33 bu33 ngiong113 dong33 ziang33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_082.wav,天時多變化愛著較燒暖兜,tien33 shi113 do33 bien53 fa53 oi33 zhog21 ka33 sheu33 non33 deu33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_083.wav,便利商店使得買著當多東西,pien53 li53 shong33 diam53 sii31 ded21 mai33 do31 dong33 do33 dung33 si33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_084.wav,下次擺過再約時間共下坐尞,ha53 ci53 bai31 go53 zai53 rhog21 shi113 gien33 kiung53 ha53 co33 liau53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_085.wav,當晝頭當熱毋好出去運動,dong33 zhiu53 teu113 dong33 ngied54 m113 ho31 chud21 ki53 rhun53 tung53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_086.wav,𠊎當講緊電話請等一下,ngai113 dong33 gong31 gin31 tien53 fa53 ciang31 den31 rhid21 ha53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_087.wav,𠊎準備好了使得開始了,ngai113 zhun31 pi53 ho31 le33 sii31 ded21 koi33 chi31 le33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_088.wav,這件事情分你講到恁輕可,lia31 kien53 sii53 cin113 bun33 hn113 gong31 do53 an31 kiang33 ko31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_089.wav,敗勢勞攪了你愛赴時間無,pai33 she53 lo113 gau31 le33 hn113 oi33 fu53 shi113 gien33 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_090.wav,有麼个問題無你想去真周到,rhiu33 ma31 gai33 mun53 ti113 mo113 hn113 siong31 ki53 zhin33 zhiu33 do53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_091.wav,這站無閒麼个佢愛照顧厥姆,lia31 zam53 mo113 han113 ma31 gai33 gi113 oi33 zheu53 gu53 gia33 me33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_092.wav,客人用覆菜做等路已受歡迎,kag21 ngin113 rhung53 pug21 coi53 zo53 den31 lu53 i53 shiu53 fan33 ngiang113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_093.wav,阿爹有糖尿病使毋得食忒甜,a33 da33 rhiu33 tong113 ngiau53 piang53 sii31 m113 ded21 shid54 ted21 tiam113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_094.wav,電火關撇佢麻煩你開電火好無,tien53 fo31 guan33 ped21 gi113 ma113 fan113 hn113 koi33 tien53 fo31 ho31 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_095.wav,遽兜會赴毋着咧駛車愛細義,giag21 deu35 voi33 fu53 m113 do31 le33 sii31 cha35 oi33 se53 ngi53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_096.wav,請問上姓𠊎姓黃安做大民,ciang31 mun53 shong53 siang53 ngai113 siang53 vong113 on33 zo53 tai53 min113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_097.wav,生日快樂身體康健萬事如意,sang33 ngid21 kuai53 log54 shin33 ti31 kong33 kien53 van53 sii53 rhi113 rhi53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_098.wav,客家文化園區輒輒舉辦展覽活動,kag21 ga33 vun113 fa53 rhen113 ki33 ziab54 ziab54 gi31 pan53 zhen31 lam31 fad54 tung53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_099.wav,你今晡著都恁派頭愛去食酒係無,hn113 gim33 bi35 zhog21 do33 an31 pai53 teu113 oi33 ki33 shid54 ziu31 he53 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_100.wav,你慢到咧請等一下𠊎黏時來,hn113 man53 do53 le33 ciang31 den31 rhid21 ha53 ngai113 ngiam113 shi113 loi113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_101.wav,𠊎愛睡當晝恁夜咧好去睡目咧,ngai113 oi33 shoi53 dong33 zhiu53 an31 rha53 le33 ho31 ki33 shoi53 mug21 le33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_102.wav,阿爹在間肚歇睏老弟在廳下看電視,a33 da33 to33 gien33 du31 hied21 kun53 lo31 te33 to33 ten33 ha33 kon53 tien53 shi53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_103.wav,阿姆在灶下煮飯𠊎逐朝晨掃地泥,a33 me33 to33 zo53 ha33 zhu31 pon53 ngai113 dag21 zheu33 shun113 so53 ti53 ne113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_104.wav,有人客來毋好打赤膊入屋請脫鞋,rhiu33 ngin113 kag21 loi113 m113 ho31 da31 chag21 bog21 ngib54 vug21 ciang31 tod21 he113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_105.wav,坐火車愛先買票請問高鐵車頭仰脣行,co33 fo31 cha33 oi33 sen33 mai33 piau53 ciang31 mun53 go33 tied21 cha33 teu113 ngiong31 shun113 hang113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_106.wav,𠊎尿出想愛屙尿老妹在洗身間洗身,ngai113 ngiau53 chud21 siong31 oi33 o33 ngiau53 lo31 moi53 to33 se31 shin33 gien33 se31 shin33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_107.wav,喊計程車毋使愁停車問題坐飛行機較遽,hem33 gie53 chang113 cha33 m113 sii31 seu113 tin113 cha33 mun53 ti113 co33 fui33 hang113 gi33 ka33 giag21
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_108.wav,𠊎逐日騎鐵馬上班騎機車愛戴安全帽,"ngai113 dag21 ngid21 ki113 tied21 ma35 shong53 ban33 ki113 o33 do53 bai53 oi33 dai53 
 on33 cion113 mo53"
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_109.wav,老人家坐巴士毋使錢坐捷運做毋得食東西,lo31 ngin113 ga33 co33 ba33 sii31 m113 sii31 cien113 co33 ciab54 rhun53 sii31 m113 ded21 shid54 dung33 si33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_110.wav,寒天著膨線衫當燒暖熱天當熱著短袖斯使得咧,hon113 tien33 zhog21 pong53 sien53 sam33 dong33 sheu33 non33 ngied54 tien33 dong33 ngied54 zhog21 don31 ciu53 sii33 sii31 ded21 le33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_111.wav,頭前斡正手片斯到宜蘭縣政府咧,teu113 cien113 vad21 zhin53 shiu31 pien31 sii33 do53 ngi113 lan113 rhen53 zhin53 fu31 le33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_112.wav,佢戴哪位佢戴屏東縣,gi113 dai53 ne53 vui53 gi113 dai53 pin113 dung33 rhen53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_114.wav,這張相片係麼个所在這係新北市雙溪區,lia31 zhong33 siong53 pien31 he53 ma31 gai33 so31 cai53 lia31 he53 sin33 bed21 shi53 sung33 kie33 ki33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_115.wav,請問連江縣南竿鄉公所在幾多樓在一樓,ciang31 mun53 lien113 gong33 rhen53 nam113 gon33 hiong33 gung33 so31 to33 gid21 do33 leu113 to33 rhid21 leu113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_116.wav,𠊎愛轉苗栗火車停在第八月台愛遽遽去正毋會赴毋着,ngai113 oi53 zhon31 miau113 lid54 fo31 cha33 tin113 to33 ti53 bad21 ngied54 toi113 oi33 giag21 giag21 ki53 zhang33 m113 voi33 fu53 m113 do31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_118.wav,天光𠊎愛坐頭枋車去潮州車到站咧遽遽落車,tien33 gong35 ngai113 oi33 co33 teu113 biong33 cha33 ki33 cheu113 zhiu33 cha33 do53 zam53 le33 giag21 giag21 log54 cha33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_119.wav,請問南港火車頭仰脣去𠊎帶你去火車頭還多人哦,ciang31 mun53 nam113 gong31 fo31 cha33 teu113 ngiong31 shun113 ki53 ngai113 dai53 hn113 ki53 fo31 cha33 teu113 han113 do33 ngin113 o31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_120.wav,接送車會對本院駛到羅東火車頭在本院大門口坐車,ziab21 sung53 cha33 voi33 dui53 bun31 rhen53 sii31 do53 lo113 dung33 fo31 cha33 teu113 to33 bun31 rhen53 tai53 mun113 kieu31 co33 cha33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_121.wav,請問你對哪位來𠊎對雲林來,ciang31 mun53 hn113 dui53 ne53 vui53 loi113 ngai113 dui53 rhun113 lim113 loi113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_122.wav,吾爸準備愛去高雄出差個半月,nga33 ba33 zhun31 pi53 oi33 ki33 go33 hiung113 chud21 cai33 gai53 ban53 ngied54
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_123.wav,佢一個人去南投打拚厥姆當愁,gi113 rhid21 gai53 ngin113 ki33 nam113 teu113 da31 biang53 gia33 me33 dong33 seu113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_124.wav,請問你識來過彰化無,ciang31 mun53 hn113 shid21 loi113 go53 zhong33 fa53 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_125.wav,請問𠊎愛去苗栗愛仰脣盤車,ciang31 mun53 ngai113 oi33 ki33 miau113 lid54 oi33 ngiong31 shun113 pan113 cha33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_126.wav,請問到金門愛駛幾久愛駛八點鐘久,ciang31 mun53 do53 gim33 mun113 oi33 sii31 gid21 giu31 oi33 sii31 bad21 diam31 zhung33 giu31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_127.wav,到臺東大約還有幾多公里還有九公里,do53 toi113 dung33 tai53 rhog21 han113 rhiu33 gid21 do33 gung33 li33 han113 rhiu33 giu31 gung33 li33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_128.wav,阿松哥八月十二愛討餔娘,a33 ciung113 go33 bad21 ngied54 shib54 ngi53 oi33 to31 bu33 ngiong113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_129.wav,一月二十九學校放尞該日來去看電影好無,rhid21 ngied54 ngi53 shib54 giu31 hog54 gau31 biong53 liau53 gai53 ngid21 loi113 ki53 kon53 tien53 rhang31 ho31 mo113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_130.wav,根據政府个公告十一月十九放尞毋過前一個禮拜六愛上班,gin33 ki31 zhin53 fu31 gai33 gung33 go53 shib54 rhid21 ngied54 shib54 giu31 biong53 liau53 m113 go53 cien113 rhid21 gai53 li33 bai53 liug21 oi33 shong53 ban33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_131.wav,王先生你掛个係三月初三朝脣个門診,vong113 sin33 sen33 hn113 gua53 gai33 he53 sam33 ngied54 cu33 sam33 zheu33 shun113 gai33 mun113 zhin31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_132.wav,報名對六月初二起勢到七月初五為止,bo53 miang113 dui53 liug21 ngied54 cu33 ngi53 ki31 shi53 do53 cid21 ngied54 cu33 ng31 vui113 zhi31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_133.wav,客語認證个認證日係十月二十,kag21 ngi33 ngin53 zhin53 gai33 ngin53 zhin53 ngid21 he53 shib54 ngied54 ngi53 shib54
